Cites,Authors,Title,Year,Source,Publisher
0,M Visca,"Software development of a Cubesat test platform for electric propulsion systems. Development, integration and tests under ECSS guidelines.",2018,,webthesis.biblio.polito.it
0,"R Genet, J Arenberg, H Banich…",CubeSat Astronomical Telescops and Research in the 2020s,2019,Bulletin of the …,… .s3.amazonaws.com
0,PM Pallas,Cubesat Deployment Trajectories for the Asteroid Impact Mission,,repository.tudelft.nl,
0,"I Aravindaguru, D Arulselvam, N Kanagavalli…",Space cloud in cubesat-Consigning expert system to space,2022,AIP Conference …,pubs.aip.org
0,"F Strauss, K Simmons",The Wolverine CubeSat Development Team: Middle Schools Students as Agents for Aerospace Education Outreach,2022,AIAA SCITECH 2022 Forum,arc.aiaa.org
0,"K Aishwarya, J Mallaya, K Tharaneeswaran, B Bharath",Project Journal CubeSat Detumbing Simulation,,researchgate.net,
0,"Z Hao, Q Xu, P Roberts, S Hobbs…",System Design for CubeSat as A Secondary Payload For Deep-Space Mission–A Case Study For ESA Asteroid Impact Mission,2015,66th International …,research.manchester.ac.uk
0,SM Generation,A new Patch Antenna Designed for CubeSat,2016,IEEE AntEnnAs &ProPAgAtIon MAgAzInE,ieeexplore.ieee.org
0,"C Sravanthi, C Ajay, CR Krishna","Design and Analysis on 1U CubeSat Using Different Materials Al 6061 T6, Al 6063 T832 &Al 7075 T6",2022,NeuroQuantology,search.proquest.com
0,"ENJ Navarro, AS Santomé, DAP Pérez…",Cost Model for CubeSat Projects in Mexico,2023,Journal of Physics …,iopscience.iop.org
0,"F Graziania, S Battistinib","aGAUSS Srl, Rome, Italy, bDepartment of Engineering and Mathematics, Sheffield Hallam University, Sheffield, United Kingdom",2020,CubeSat Handbook: From Mission …,books.google.com
0,"Y Yao, W Fu, X Guo, S Shi, J Yan",Design and Experimental Verification of High Functional Density Cubesat System,2023,3D Imaging—Multidimensional Signal …,Springer
0,"F Graziani, S Battistini",Orbit determination and control system,2021,Cubesat Handbook,Elsevier
